Model,Stages,States,Learning queries,Learning symbols,Testing queries,Testing symbols
random-2-10-1.dot,15,144,13697,179391,50,1062
random-2-10-2.dot,18,162,27753,424760,99,2101
random-2-10-3.dot,9,112,4682,50728,42,893
random-2-10-4.dot,9,64,5491,61323,19,311
random-2-10-5.dot,10,140,6448,69545,64,1267
random-2-10-6.dot,8,70,3096,29061,20,311
random-2-10-7.dot,13,160,16505,226615,36,654
random-2-10-8.dot,10,144,13149,160332,25,468
random-2-15-1.dot,12,338,49608,900842,60,1223
random-2-15-2.dot,12,242,16600,207180,211,4079
random-2-15-3.dot,14,364,34647,484563,46,823
random-2-15-4.dot,15,260,35804,516927,82,1564
random-2-15-5.dot,15,338,39635,580676,79,1758
random-2-15-6.dot,13,300,48894,795566,124,2689
random-2-15-7.dot,13,312,37307,631985,42,881
random-2-15-8.dot,8,18,868,6119,16,231
random-2-20-1.dot,16,648,137196,2816111,214,4807
random-2-20-2.dot,16,544,75137,1266479,88,2077
random-2-20-3.dot,18,684,71711,1197586,215,4614
random-2-20-4.dot,14,468,30706,414411,30,597
random-2-20-5.dot,14,468,40053,559712,44,874
random-2-20-6.dot,16,544,61771,1060611,52,1140
random-2-20-7.dot,15,648,48828,725517,65,1417
random-2-20-8.dot,16,320,51635,884967,55,1130
random-2-30-1.dot,17,1352,235097,4768041,139,3146
random-2-30-2.dot,19,1092,132308,2716567,137,3238
random-2-30-3.dot,19,1092,147790,2835271,230,5266
random-2-30-4.dot,20,966,183320,3157602,394,8691
random-2-30-5.dot,19,1040,188127,3599903,161,3514
random-2-30-6.dot,23,1104,305786,6603547,358,8300
random-2-30-7.dot,16,1296,167795,3176936,63,1484
random-2-30-8.dot,20,1250,198710,3625261,280,6220
random-2-40-1.dot,23,2100,420726,9089687,124,3039
random-2-40-2.dot,21,2304,374655,7690353,164,3797
random-2-40-3.dot,16,800,69116,1270958,77,1815
random-2-40-4.dot,20,2040,291071,5677873,61,1326
random-2-40-5.dot,19,1550,351826,8157614,127,3122
random-2-40-6.dot,19,2030,156552,2904267,77,1659
random-2-40-7.dot,20,2088,298943,6044179,54,1163
random-2-40-8.dot,21,2108,477841,11210965,115,2859
random-2-5-1.dot,6,8,721,10153,31,509
random-2-5-2.dot,5,24,520,2931,16,228
random-2-5-3.dot,5,30,1153,8672,38,593
random-2-5-4.dot,2,4,73,264,3,90
random-2-5-5.dot,8,40,1708,14504,16,269
random-2-5-6.dot,7,40,1329,9601,41,567
random-2-5-7.dot,5,32,845,5179,16,163
random-2-5-8.dot,5,24,1004,7918,18,378
random-3-10-1.dot,23,1920,430435,8921168,302,7434
random-3-10-2.dot,24,1536,237844,4176468,241,5029
random-3-10-3.dot,17,1728,113442,1936968,61,1202
random-3-10-4.dot,16,1701,346832,7857513,93,2318
random-3-10-5.dot,16,441,42929,654340,40,943
random-3-10-6.dot,19,2700,323496,6051268,124,3029
random-3-10-7.dot,20,1458,309989,6429312,523,11686
random-3-10-8.dot,23,147,29140,372735,180,3411
random-3-15-1.dot,25,4950,1591520,41281354,164,3823
random-3-15-2.dot,22,3744,560338,10409465,206,4642
random-3-15-3.dot,24,5148,865399,16852197,399,9279
random-3-15-4.dot,25,2574,750029,15817875,439,10002
random-3-15-5.dot,22,1188,177544,3136256,269,5552
random-3-15-6.dot,27,3003,978504,27110516,126,2978
random-3-15-7.dot,18,1980,305290,5850389,125,2539
random-3-15-8.dot,27,5148,1411097,32484651,1066,26336
random-3-5-1.dot,11,180,10921,129270,37,693
random-3-5-2.dot,15,180,20031,271791,84,1551
random-3-5-3.dot,14,120,10068,127294,150,2794
random-3-5-4.dot,14,180,13916,177161,357,7270
random-3-5-5.dot,14,240,39987,815934,139,2674
random-3-5-6.dot,19,240,21874,274047,451,9076
random-3-5-7.dot,8,45,1529,12826,61,949
random-3-5-8.dot,10,48,3585,35760,56,939
random-4-5-1.dot,22,900,167489,2913525,269,5614
random-4-5-2.dot,20,1200,101162,1516592,124,2559
random-4-5-3.dot,19,960,76089,1050460,149,3486
random-4-5-4.dot,15,200,27526,469151,206,4084
random-4-5-5.dot,19,432,68115,1326569,100,1927
random-4-5-6.dot,17,192,14604,176125,147,2725
random-4-5-7.dot,23,960,200909,3903413,237,4928
random-4-5-8.dot,17,1200,105133,1654648,97,2258
random-5-5-1.dot,30,2500,502601,10525529,396,9861
random-5-5-2.dot,33,2400,786372,18604763,400,9600
random-5-5-3.dot,25,2400,527613,9918228,319,7552
random-5-5-4.dot,25,9375,2516123,73266488,109,2624
random-5-5-5.dot,30,10000,2779584,69023160,185,4500
random-5-5-6.dot,37,10000,4791472,128085568,1022,25070
random-5-5-7.dot,21,4000,789806,18752772,124,2835
random-5-5-8.dot,25,8000,2171585,51488424,295,7187
