Model,Stages,States,Short rows,Inconsistent count,Zero outputs count,Two outputs count,Learning queries,Learning symbols,Testing queries,Testing symbols
random-2-10-1.dot,2,144,32,1,0,0,1251,12488,1,22
random-2-10-2.dot,4,162,34,2,0,0,3274,47474,3,61
random-2-10-3.dot,5,112,28,5,0,0,1053,7118,5,58
random-2-10-4.dot,3,64,22,3,0,0,1173,10459,4,54
random-2-10-5.dot,6,140,32,1,0,0,2972,31921,65,1077
random-2-10-6.dot,3,70,22,4,0,0,725,4733,4,92
random-2-10-7.dot,5,160,34,1,0,0,3074,36924,54,1012
random-2-10-8.dot,5,144,32,2,0,0,2247,22217,51,911
random-2-15-1.dot,4,338,50,2,0,0,5209,70021,18,304
random-2-15-2.dot,5,242,42,3,0,0,2099,18115,36,784
random-2-15-3.dot,3,364,52,8,0,0,2285,16571,16,260
random-2-15-4.dot,3,260,44,3,0,0,1578,13010,17,307
random-2-15-5.dot,7,338,50,3,0,0,6322,94356,169,3540
random-2-15-6.dot,5,300,48,3,0,0,3594,39545,9,219
random-2-15-7.dot,6,312,48,0,0,0,3337,31548,26,481
random-2-15-8.dot,6,18,18,0,0,0,1213,9703,72,1225
random-2-20-1.dot,7,648,70,4,0,0,8529,98496,143,3217
random-2-20-2.dot,5,544,64,6,0,0,4042,38261,46,1035
random-2-20-3.dot,9,684,72,2,0,0,4691,47966,346,8062
random-2-20-4.dot,5,468,60,2,0,0,2929,26663,32,652
random-2-20-5.dot,4,468,60,2,0,0,3678,40934,6,109
random-2-20-6.dot,3,544,64,4,0,0,3824,42529,24,509
random-2-20-7.dot,5,648,70,4,0,0,4900,47142,28,502
random-2-20-8.dot,4,320,50,3,0,0,2301,20973,13,259
random-2-30-1.dot,4,1352,102,1,0,0,8042,106823,3,48
random-2-30-2.dot,5,1092,92,4,0,0,6363,79209,12,276
random-2-30-3.dot,5,1092,92,2,0,0,4913,51865,37,761
random-2-30-4.dot,7,966,86,0,0,0,13477,176531,210,4874
random-2-30-5.dot,5,1040,90,0,0,0,8340,114244,25,594
random-2-30-6.dot,5,1104,92,2,0,0,7668,87547,38,905
random-2-30-7.dot,5,1296,100,0,0,0,6439,76057,98,2598
random-2-30-8.dot,4,1250,98,1,0,0,5614,66647,226,5394
random-2-40-1.dot,6,2100,128,7,0,0,11622,143473,207,4890
random-2-40-2.dot,8,2304,134,6,0,0,12823,185097,33,811
random-2-40-3.dot,3,800,80,5,0,0,7209,92567,28,586
random-2-40-4.dot,5,2040,126,4,0,0,9200,105574,4,119
random-2-40-5.dot,3,1550,110,3,0,0,5320,66092,12,411
random-2-40-6.dot,2,2030,126,2,0,0,5665,71845,2,22
random-2-40-7.dot,5,2088,128,2,0,0,14434,208193,42,1038
random-2-40-8.dot,5,2108,128,5,0,0,15936,316579,252,5994
random-2-5-1.dot,5,8,8,0,0,0,533,5494,16,272
random-2-5-2.dot,4,24,12,2,0,0,382,2108,8,108
random-2-5-3.dot,3,30,14,1,0,0,613,4632,2,33
random-2-5-4.dot,2,4,4,0,0,0,73,264,1,11
random-2-5-5.dot,3,40,16,3,0,0,787,5900,9,149
random-2-5-6.dot,4,40,16,0,0,0,589,3789,5,81
random-2-5-7.dot,3,32,14,0,0,0,361,1944,3,71
random-2-5-8.dot,2,24,12,3,0,0,292,1359,2,17
random-3-10-1.dot,5,1920,72,4,0,0,8933,125053,104,2514
random-3-10-2.dot,6,1536,66,9,0,0,8628,110888,85,1870
random-3-10-3.dot,4,1728,69,8,0,0,9879,126333,36,923
random-3-10-4.dot,5,1701,69,8,0,0,6915,80252,57,1298
random-3-10-5.dot,5,441,45,0,0,0,2426,20066,12,256
random-3-10-6.dot,7,2700,81,12,0,0,13025,169176,56,1402
random-3-10-7.dot,4,1458,66,8,0,0,7215,100138,28,571
random-3-10-8.dot,4,147,39,0,0,0,5790,86855,25,553
random-3-15-1.dot,4,4950,102,7,0,0,9975,136652,23,533
random-3-15-2.dot,7,3744,93,9,0,0,9416,90457,211,4961
random-3-15-3.dot,7,5148,102,8,0,0,11924,130546,450,10635
random-3-15-4.dot,6,2574,84,8,0,0,10574,117442,189,4903
random-3-15-5.dot,4,1188,72,8,0,0,5124,52393,67,1338
random-3-15-6.dot,5,3003,87,15,0,0,13451,214339,38,988
random-3-15-7.dot,6,1980,78,8,0,0,9963,125776,29,627
random-3-15-8.dot,3,5148,102,2,0,0,8744,127069,4,127
random-3-5-1.dot,4,180,30,5,0,0,1220,7711,39,584
random-3-5-2.dot,2,180,30,5,0,0,1027,6987,1,25
random-3-5-3.dot,4,120,27,10,0,0,4712,79991,75,1447
random-3-5-4.dot,6,180,30,3,0,0,2899,28707,98,1604
random-3-5-5.dot,5,240,33,11,0,0,4603,51607,67,1393
random-3-5-6.dot,6,240,33,8,0,0,2894,27247,182,3773
random-3-5-7.dot,2,45,21,8,0,0,785,4692,7,72
random-3-5-8.dot,5,48,21,3,0,0,1418,13309,16,243
random-4-5-1.dot,2,900,52,7,0,0,5988,108829,1,64
random-4-5-2.dot,4,1200,56,5,0,0,3211,29983,5,122
