Model,Stages,States,Learning queries,Learning symbols,Testing queries,Testing symbols
1,1,4,64,192,0,0
2,1,4,64,192,0,0
3,1,4,64,192,0,0
4,1,4,64,192,0,0
5,1,4,64,192,0,0
6,1,4,64,192,0,0
7,1,6,150,475,0,0
8,1,6,150,475,0,0
9,1,6,150,475,0,0
10,1,6,150,475,0,0
11,1,8,512,1792,0,0
12,1,8,200,700,0,0
13,1,8,288,1008,0,0
14,1,8,200,700,0,0
15,1,8,288,1008,0,0
16,1,8,288,1008,0,0
17,1,12,972,3564,0,0
18,1,12,588,2156,0,0
19,1,12,588,2156,0,0
20,1,12,588,2156,0,0
21,1,12,588,2156,0,0
22,1,16,1936,10890,0,0
23,1,16,1600,6400,0,0
24,1,16,1600,6400,0,0
25,1,16,784,3136,0,0
26,1,16,1024,4096,0,0
27,1,16,1024,4096,0,0
28,1,18,1800,6900,0,0
29,1,18,1800,6900,0,0
30,1,18,1152,4416,0,0
31,1,24,1536,6400,0,0
32,1,24,1944,8100,0,0
33,3,26,5990,39468,49,695
34,3,26,6827,48869,107,1731
35,1,27,3267,13068,0,0
36,1,28,4032,23040,0,0
37,1,32,5408,33124,0,0
38,1,32,5408,33124,0,0
39,1,32,3200,14400,0,0
40,1,32,3200,14400,0,0
41,1,36,5184,22464,0,0
42,1,36,5184,22464,0,0
43,1,36,3600,15600,0,0
44,3,39,12731,95055,32,487
45,1,48,5808,27104,0,0
46,1,48,6912,34560,0,0
47,1,48,5808,27104,0,0
48,1,52,7488,44928,0,0
49,1,52,8788,52728,0,0
50,1,56,12600,78300,0,0
51,1,56,12600,78300,0,0
52,1,56,12600,78300,0,0
53,1,64,6400,32000,0,0
54,1,64,9216,46080,0,0
55,1,64,18496,122536,0,0
56,1,64,14400,95400,0,0
57,1,64,12544,62720,0,0
58,1,72,12168,62868,0,0
59,3,78,23109,153696,69,1209
60,1,84,21504,137216,0,0
61,3,96,28834,206551,29,573
62,1,96,21600,111600,0,0
63,1,96,16224,83824,0,0
64,1,96,16224,83824,0,0
65,1,112,18928,151762,0,0
66,1,112,28672,192512,0,0
67,1,112,28672,192512,0,0
68,3,117,49477,341924,320,5692
69,1,120,27000,186300,0,0
70,1,128,21632,118976,0,0
71,1,128,25088,137984,0,0
72,1,128,32768,180224,0,0
73,1,128,21632,118976,0,0
74,3,144,50839,376787,109,1918
75,1,144,28224,150528,0,0
76,1,162,41472,214272,0,0
77,1,168,54432,374544,0,0
78,1,192,55488,314432,0,0
79,1,192,43200,244800,0,0
80,1,192,55488,314432,0,0
81,1,192,43200,244800,0,0
82,1,216,62424,343332,0,0
83,1,224,80864,583376,0,0
84,1,224,50400,429300,0,0
85,1,256,82944,497664,0,0
86,1,256,82944,497664,0,0
87,1,256,50176,301056,0,0
88,1,256,82944,632448,0,0
89,1,256,92416,704672,0,0
90,1,256,73984,443904,0,0
91,1,288,115200,859200,0,0
92,1,288,115200,672000,0,0
93,1,288,93312,544320,0,0
94,1,288,83232,485520,0,0
96,1,312,101088,724464,0,0
97,1,360,104040,787236,0,0
98,1,360,104040,787236,0,0
99,3,384,246932,2909971,183,3288
100,1,384,153600,1196800,0,0
101,1,384,110976,721344,0,0
102,1,384,153600,1196800,0,0
103,1,384,153600,1196800,0,0
104,1,384,138624,854848,0,0
105,1,384,124416,767232,0,0
106,1,384,110976,684352,0,0
107,1,384,110976,684352,0,0
108,1,432,155952,935712,0,0
109,1,432,155952,935712,0,0
110,1,432,139968,886464,0,0
111,1,432,190512,1143072,0,0
112,1,432,155952,935712,0,0
113,1,432,155952,935712,0,0
114,1,432,155952,935712,0,0
115,1,468,206388,1513512,0,0
116,1,512,270848,2200640,0,0
117,1,576,278784,2311584,0,0
118,1,576,304704,2424936,0,0
