Model,Stages,States,Short rows,Inconsistent count,Zero outputs count,Two outputs count,Learning queries,Learning symbols,Testing queries,Testing symbols
1,1,4,4,0,0,0,64,192,0,0
2,1,4,4,0,0,0,64,192,0,0
3,1,4,4,0,0,0,64,192,0,0
4,1,4,4,0,0,0,64,192,0,0
5,1,4,4,0,0,0,64,192,0,0
6,1,4,4,0,0,0,64,192,0,0
7,1,6,4,2,0,0,134,440,0,0
8,1,6,4,2,0,0,134,440,0,0
9,1,6,4,2,0,0,134,440,0,0
10,1,6,4,2,0,0,134,440,0,0
11,1,8,8,0,0,0,512,1792,0,0
12,1,8,8,0,0,0,200,700,0,0
13,1,8,8,0,0,0,288,1008,0,0
14,1,8,8,0,0,0,200,700,0,0
15,1,8,8,0,0,0,288,1008,0,0
16,1,8,8,0,0,0,288,1008,0,0
17,1,12,8,10,0,0,1298,5508,0,0
18,1,12,8,2,0,0,490,1824,0,0
19,1,12,8,2,0,0,490,1824,0,0
20,1,12,8,2,0,0,490,1824,0,0
21,1,12,8,2,0,0,490,1824,0,0
22,1,16,16,0,0,0,1936,10890,0,0
23,1,16,16,0,0,0,1600,6400,0,0
24,1,16,16,0,0,0,1600,6400,0,0
25,1,16,16,0,0,0,784,3136,0,0
26,1,16,16,0,0,0,1024,4096,0,0
27,1,16,16,0,0,0,1024,4096,0,0
28,1,18,18,0,0,0,1800,6900,0,0
29,1,18,18,0,0,0,1800,6900,0,0
30,1,18,10,4,0,0,892,3512,0,0
31,1,24,16,4,0,0,1476,6408,0,0
32,1,24,16,2,0,0,1554,6500,0,0
33,3,26,26,0,0,0,6953,49992,65,1127
34,2,26,26,0,0,0,6064,41566,4,100
35,1,27,18,8,0,0,3626,15469,0,0
36,1,28,28,0,0,0,4032,23040,0,0
37,1,32,32,0,0,0,5408,33124,0,0
38,1,32,32,0,0,0,5408,33124,0,0
39,1,32,32,0,0,0,3200,14400,0,0
40,1,32,32,0,0,0,3200,14400,0,0
41,1,36,36,0,0,0,5184,22464,0,0
42,1,36,36,0,0,0,5184,22464,0,0
43,1,36,18,4,0,0,2412,10360,0,0
44,1,39,26,33,0,0,15715,126449,0,0
45,1,48,32,2,0,0,4514,21012,0,0
46,1,48,48,0,0,0,6912,34560,0,0
47,1,48,32,2,0,0,4514,21012,0,0
48,1,52,52,0,0,0,7488,44928,0,0
49,1,52,52,0,0,0,8788,52728,0,0
50,1,56,56,0,0,0,12600,78300,0,0
51,1,56,56,0,0,0,12600,78300,0,0
52,1,56,56,0,0,0,12600,78300,0,0
53,1,64,64,0,0,0,6400,32000,0,0
54,1,64,64,0,0,0,9216,46080,0,0
55,1,64,64,0,0,0,18496,122536,0,0
56,1,64,64,0,0,0,14400,95400,0,0
57,1,64,64,0,0,0,12544,62720,0,0
58,1,72,48,14,0,0,16190,96568,0,0
59,1,78,52,33,0,0,37781,319298,0,0
60,1,84,56,13,0,0,25269,194693,0,0
61,2,96,96,0,0,0,35135,319645,29,496
62,1,96,64,10,0,0,23370,130008,0,0
63,1,96,64,2,0,0,12354,63428,0,0
64,1,96,64,2,0,0,12354,63428,0,0
65,1,112,112,15,0,0,37501,413285,0,0
66,1,112,112,0,0,0,28672,192512,0,0
67,1,112,112,0,0,0,28672,192512,0,0
68,3,117,117,18,0,0,104551,889963,29,535
69,1,120,120,0,0,0,27000,186300,0,0
70,1,128,128,0,0,0,21632,118976,0,0
71,1,128,128,0,0,0,25088,137984,0,0
72,1,128,128,0,0,0,32768,180224,0,0
73,1,128,128,0,0,0,21632,118976,0,0
74,1,144,96,53,0,0,99009,950403,0,0
75,1,144,66,4,0,0,16316,84824,0,0
76,1,162,74,10,0,0,29822,155468,0,0
77,1,168,112,13,0,0,61053,495129,0,0
78,1,192,128,10,0,0,57482,346072,0,0
79,1,192,128,2,0,0,32386,181956,0,0
80,1,192,128,10,0,0,57482,346072,0,0
81,1,192,128,2,0,0,32386,181956,0,0
82,1,216,144,8,0,0,60056,339856,0,0
83,1,224,224,0,0,0,80864,583376,0,0
84,1,224,224,14,0,0,90021,1001220,0,0
85,1,256,256,0,0,0,82944,497664,0,0
86,1,256,256,0,0,0,82944,497664,0,0
87,1,256,256,0,0,0,50176,301056,0,0
88,1,256,256,14,0,0,141665,1311000,0,0
89,1,256,256,0,0,0,92416,704672,0,0
90,1,256,256,0,0,0,73984,443904,0,0
91,1,288,288,14,0,0,189035,1699651,0,0
92,1,288,288,0,0,0,115200,672000,0,0
93,1,288,288,0,0,0,93312,544320,0,0
94,1,288,288,0,0,0,83232,485520,0,0
96,1,312,208,27,0,0,162891,1538298,0,0
97,1,360,240,33,0,0,196113,1958275,0,0
98,1,360,240,42,0,0,228077,2468905,0,0
99,1,384,384,26,0,0,279580,2775958,0,0
100,1,384,256,18,0,0,189970,1735180,0,0
101,1,384,384,0,0,0,110976,721344,0,0
102,1,384,256,18,0,0,189970,1735180,0,0
103,1,384,256,18,0,0,189970,1735180,0,0
104,1,384,256,10,0,0,138506,898072,0,0
105,1,384,256,12,0,0,135180,883740,0,0
106,1,384,256,2,0,0,82178,501764,0,0
107,1,384,256,2,0,0,82178,501764,0,0
108,1,432,288,8,0,0,145448,892192,0,0
109,1,432,288,8,0,0,145448,892192,0,0
110,1,432,193,16,0,0,114919,783476,0,0
111,1,432,288,16,0,0,219184,1398324,0,0
112,1,432,288,8,0,0,145448,892192,0,0
113,1,432,288,8,0,0,145448,892192,0,0
114,1,432,288,8,0,0,145448,892192,0,0
115,1,468,468,0,0,0,206388,1513512,0,0
116,1,512,512,0,0,0,270848,2200640,0,0
117,1,576,384,30,0,0,427806,4148560,0,0
118,1,576,576,0,0,0,304704,2424936,0,0
119,1,576,384,16,0,0,228880,1676588,0,0
120,1,576,384,54,0,0,537698,5621945,0,0
121,1,576,384,64,0,0,566632,7592238,0,0
122,1,576,576,0,0,0,254016,1608768,0,0
123,1,576,258,14,0,0,157907,1032646,0,0
